Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Category,Cuisine,Meal_Type
Vegetable Samosa,251.0,30,1,13,5,3,Fried,Pakistani,Snack
Potato Samosa,230.0,28,1,12,4,3,Fried,Pakistani,Snack
Mixed Pakora,220.0,20,2,14,5,3,Fried,Pakistani,Snack
Aloo Chaat,133.0,20,3,5,4,4,Chaat,Pakistani,Snack
Dahi Bhalla,130.0,15,3,6,5,2,Chaat,Pakistani,Snack
Chana Chaat,154.0,25,3,4,8,7,Chaat,Pakistani,Snack
Fruit Chaat,72.7,18,14,0.3,1,3,Fruit,Pakistani,Snack
Apple,54.2,14,10,0.2,0.3,2.4,Fruit,Global,Snack
Banana,93.9,23,12,0.3,1.1,2.6,Fruit,Global,Snack
Orange,47.7,12,9,0.1,0.9,2.4,Fruit,Global,Snack
Guava,65.4,14,9,1,2.6,5,Fruit,Pakistani,Snack
Mango,63.6,15,14,0.4,0.8,1.6,Fruit,Pakistani,Snack
Almonds,598.0,22,4,50,21,12,Nuts,Global,Snack
Walnuts,687.0,14,3,65,15,7,Nuts,Global,Snack
Roasted Peanuts,593.0,16,4,49,26,8,Nuts,Global,Snack
Mixed Nuts,622.0,20,5,54,18,8,Nuts,Global,Snack
Dates,269.8,68,63,0.2,2.5,7,Fruit,Pakistani,Snack
Raisins,296.5,72,59,0.5,3,4,Fruit,Global,Snack
Roasted Chickpeas,331.0,58,10,5,19,11,Legume,Pakistani,Snack
Chana Jor Garam,292.0,45,4,8,15,10,Legume,Pakistani,Snack
Greek Yogurt,59.6,4,4,0.4,10,0,Dairy,Global,Snack
Fruit Yogurt,82.0,12,12,2,4,0,Dairy,Global,Snack
Sweet Lassi,78.0,12,12,2,3,0,Dairy,Pakistani,Snack
Boiled Corn,106.3,21,4,1.5,3.4,2.4,Vegetable,Pakistani,Snack
Popcorn (plain),352.0,74,0.9,4,12,14,Grain,Global,Snack
Cucumber & Tomato Salad,18.8,4,2,0.2,1,1.5,Vegetable,Pakistani,Snack
Gajar Halwa,220.0,30,25,10,4,3,Sweet,Pakistani,Snack
Peanut Chikki,402.0,45,35,20,12,3,Sweet,Pakistani,Snack
